City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Carnarvon,100,AU,1659270962,48,-24.8667,113.6333,70.39,8.32
Rikitea,100,PF,1659270963,74,-23.1203,-134.9692,72.37,19.19
Upernavik,70,GL,1659270964,69,72.7868,-56.1549,47.97,9.06
Hilo,100,US,1659270916,83,19.7297,-155.09,73.27,4.61
Busselton,100,AU,1659270965,74,-33.65,115.3333,57.49,14.88
College,100,US,1659270965,87,64.8569,-147.8028,58.59,3.44
Cape Town,20,ZA,1659270684,51,-33.9258,18.4232,62.11,12.66
Tsabong,72,BW,1659270966,18,-26.0217,22.401,67.51,7.76
Ribeira Grande,20,PT,1659270966,73,38.5167,-28.7,77.4,4.61
Arraial do Cabo,0,BR,1659270967,68,-22.9661,-42.0278,67.96,8.05
Iqaluit,75,CA,1659270967,87,63.7506,-68.5145,44.33,9.22
Jieshi,13,CN,1659270968,77,22.8134,115.8257,84.47,8.84
Almansa,0,ES,1659270968,36,38.8692,-1.0971,89.51,4.38
Natal,75,BR,1659270969,89,-5.795,-35.2094,80.82,5.75
Mataura,87,NZ,1659270969,98,-46.1927,168.8643,48.47,3.94
Buala,6,SB,1659270970,81,-8.145,159.5921,80.38,8.99
Avarua,40,CK,1659270970,69,-21.2078,-159.775,75.25,10.36
Rio Verde de Mato Grosso,0,BR,1659270971,38,-18.9181,-54.8442,79.05,6.49
Lorengau,21,PG,1659270971,77,-2.0226,147.2712,82.27,9.08
Albanel,25,CA,1659270972,78,48.8832,-72.4487,69.78,4.61
Albany,0,US,1659270703,74,42.6001,-73.9662,70.57,1.77
Tura,100,IN,1659270972,95,25.5198,90.2201,74.17,3.6
Yellowknife,20,CA,1659270973,93,62.456,-114.3525,50.56,4.61
Olafsvik,94,IS,1659270973,73,64.8945,-23.7142,49.28,10.6
Saint George,0,US,1659270973,74,37.1041,-113.5841,75.63,1.99
Moerai,28,PF,1659270974,70,-22.4333,-151.3333,72.48,22.41
Port Alfred,51,ZA,1659270974,63,-33.5906,26.891,61.18,7.0
Tarabuco,5,BO,1659270975,43,-19.1667,-64.9167,54.86,3.6
Vaini,20,TO,1659270975,94,-21.2,-175.2,75.36,6.91
San Patricio,0,US,1659270976,78,28.017,-97.5169,86.85,5.03
Longyearbyen,0,SJ,1659270976,71,78.2186,15.6401,51.64,4.61
Bandiagara,96,ML,1659270977,34,14.3501,-3.6104,94.19,8.21
Hermanus,9,ZA,1659270977,49,-34.4187,19.2345,58.8,5.64
Constitución,1,CL,1659270845,83,-35.3333,-72.4167,49.57,2.59
Shiroishi,100,JP,1659270978,83,38.0033,140.6183,81.72,3.98
Mahébourg,40,MU,1659270978,68,-20.4081,57.7,74.25,21.85
Hofn,40,IS,1659270979,41,64.2539,-15.2082,59.02,13.8
Ulladulla,100,AU,1659270979,79,-35.35,150.4667,54.0,8.88
Saint Paul Harbor,0,US,1659270979,87,57.79,-152.4072,53.11,5.75
Nemuro,100,JP,1659270980,90,43.3236,145.575,63.34,16.75
Vallenar,0,CL,1659270981,68,-28.5708,-70.7581,57.38,0.45
Bluff,53,NZ,1659270981,75,-46.6,168.3333,48.79,13.27
San Luis,0,AR,1659270982,32,-33.295,-66.3356,56.05,3.62
Lata,0,PT,1659270982,17,40.1629,-8.3327,77.81,7.02
Harper,97,LR,1659270983,76,4.375,-7.7169,77.76,8.63
Port Elizabeth,40,ZA,1659270983,67,-33.918,25.5701,61.09,20.71
Ostrovnoy,100,RU,1659270983,60,68.0531,39.5131,65.86,13.89
Hobart,100,AU,1659270984,70,-42.8794,147.3294,53.26,17.27
Deep River,6,CA,1659270985,68,46.1001,-77.4995,65.95,4.14
Castro,0,BR,1659270985,54,-24.7911,-50.0119,57.51,4.07
Kaitangata,53,NZ,1659270986,94,-46.2817,169.8464,40.77,8.23
Teya,75,RU,1659270986,74,60.3778,92.6267,71.49,3.18
Cayhagan,100,PH,1659270987,83,9.6697,122.4256,79.66,6.6
Asău,100,RO,1659270987,85,46.4333,26.4,67.28,3.44
Qaanaaq,1,GL,1659270988,58,77.484,-69.3632,43.38,6.98
Nome,0,US,1659270989,87,64.5011,-165.4064,46.47,3.44
Bria,99,CF,1659270989,95,6.5423,21.9863,72.05,5.64
Chara,23,RU,1659270737,65,56.9064,118.2631,64.49,5.19
George Town,20,MY,1659270395,76,5.4112,100.3354,85.95,4.61
Amboasary,5,MG,1659270990,57,-25.0333,46.3833,77.0,8.9
Kiryat Gat,16,IL,1659270901,31,31.61,34.7642,92.39,12.55
Jamestown,0,US,1659270814,65,42.097,-79.2353,66.72,1.99
Kloulklubed,100,PW,1659270991,74,7.0419,134.2556,75.7,11.23
Deputatsky,100,RU,1659270991,78,69.3,139.9,60.26,3.04
Butaritari,59,KI,1659270992,70,3.0707,172.7902,81.54,16.98
Lebu,8,CL,1659270992,84,-37.6167,-73.65,46.06,1.9
Atuona,27,PF,1659270926,81,-9.8,-139.0333,75.83,11.92
Isugod,100,PH,1659270993,86,9.3408,118.1196,79.56,3.91
Sabang,8,ID,1659270993,75,5.8933,95.3214,82.63,18.01
Port Hawkesbury,75,CA,1659270994,85,45.6169,-61.3485,71.89,11.01
Pacific Grove,0,US,1659270994,92,36.6177,-121.9166,60.91,4.0
Kédougou,75,SN,1659270994,74,12.5579,-12.1743,84.78,4.61
Havelock,100,US,1659270995,94,34.8791,-76.9013,82.38,1.77
Vardø,28,NO,1659270996,93,70.3705,31.1107,54.45,7.52
Punta Arenas,0,CL,1659270980,81,-53.15,-70.9167,39.31,10.36
Mar del Plata,100,AR,1659270996,88,-38.0023,-57.5575,54.09,5.99
Krasne,100,UA,1659270997,90,49.9145,24.6134,65.91,7.29
São Filipe,100,CV,1659270997,77,14.8961,-24.4956,77.34,7.52
Germenchuk,16,RU,1659270998,24,43.1857,45.921,92.89,14.16
Hambantota,75,LK,1659270999,94,6.1241,81.1185,80.94,6.91
Sarangani,100,PH,1659270999,75,5.4033,125.4636,82.27,11.97
Koróni,0,GR,1659270999,60,36.8,21.95,91.08,10.18
Leh,69,IN,1659270871,36,34.1667,77.5833,67.55,8.59
Tupik,0,RU,1659271000,90,54.4253,119.9327,60.51,4.38
Kapaa,0,US,1659271000,81,22.0752,-159.319,79.12,14.97
Tigil',28,RU,1659271001,85,57.8,158.6667,47.91,5.28
Crewe,70,GB,1659270849,72,53.0979,-2.4416,71.96,8.99
Sinegorsk,22,RU,1659271001,98,47.1667,142.5,53.94,3.33
Marrakesh,20,MA,1659271002,11,31.6315,-8.0083,113.07,6.91
Richards Bay,100,ZA,1659271002,76,-28.783,32.0377,64.56,14.47
Nova Gradiška,68,HR,1659271003,28,45.255,17.3831,84.09,10.83
